DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_OF_MONITORING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_OF_MONITORING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,1,2008,0.3302,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,1,2009,0.32997,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,1,2010,4.62275,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,1,2011,4.08086,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,1,2012,4.96048,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,2,2008,2.20132,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,2,2009,0.9899,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,2,2010,2.09124,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,2,2011,1.21323,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,2,2012,1.87396,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,9,2008,2.53152,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,9,2009,1.31987,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,9,2010,6.71399,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,9,2011,5.29409,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON,9,2012,6.83444,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,1,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,1,2009,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,1,2010,85.71429,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,1,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,1,2012,91.11111,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,2,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,2,2009,88.88889,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,2,2010,78.94737,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,2,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,2,2012,88.23529,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,9,2008,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,9,2009,91.66667,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,9,2010,83.60656,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,9,2011,100,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,001272,MON_LIM,9,2012,90.32258,,,,,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,1,2008,15.29135,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,1,2009,17.01277,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,1,2010,6.38665,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,1,2011,8.50711,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,1,2012,4.23971,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,2,2008,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,2,2009,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,2,2010,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,2,2011,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,2,2012,0,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,9,2008,15.29135,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,9,2009,17.01277,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,9,2010,6.38665,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,9,2011,8.50711,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON,9,2012,4.23971,,,,TIPO_DATO4__MON_N1,,,,,
IT1:14_167_DF_DCCV_MONINQACS_1(1.0),A,002158,MON_LIM,1,2008,71.42857,,,,,,,,,
