DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_VALUATION,NOTE_ADJUSTMENT,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2013,1474417.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2014,1475207.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2015,1488049,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2017,1532443.1,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2018,1547060.2,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M12,2019,1551113.4,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M5,2013,1474417.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M5,2014,1475207.6,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M5,2015,1488049,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
IT1:93_498_DF_DCCN_PILT_1(1.0),A,IT,B1G_B_W2_S1,L_2015,N,2020M5,2016,1508257.3,,,,TIPO_DATO_PIL_SEC2010__B1G_B_W2_S1_N1,VAL__L_2015_N1,,,,EURO,6
